case_id,experiment,graph_type,n,k,density,seed,num_vars,num_clauses,result,wall_time_sec,cpu_time_reported_sec,conflicts,decisions,propagations,returncode,cnf_file
A_density_random_n60_k3_d0p04_s27,A_density,random,60,3,0.04,27,180,453,SAT,0.002600,0.000984,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s27.cnf
A_density_random_n60_k3_d0p04_s28,A_density,random,60,3,0.04,28,180,453,SAT,0.002669,0.001034,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s28.cnf
A_density_random_n60_k3_d0p04_s29,A_density,random,60,3,0.04,29,180,453,SAT,0.003707,0.001188,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s29.cnf
A_density_random_n60_k3_d0p04_s3,A_density,random,60,3,0.04,3,180,453,SAT,0.004039,0.001281,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s3.cnf
A_density_random_n60_k3_d0p04_s30,A_density,random,60,3,0.04,30,180,453,SAT,0.003712,0.001268,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s30.cnf
A_density_random_n60_k3_d0p04_s31,A_density,random,60,3,0.04,31,180,453,SAT,0.003449,0.001185,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s31.cnf
A_density_random_n60_k3_d0p04_s32,A_density,random,60,3,0.04,32,180,453,SAT,0.003922,0.00122,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s32.cnf
A_density_random_n60_k3_d0p04_s33,A_density,random,60,3,0.04,33,180,453,SAT,0.003167,0.001154,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s33.cnf
A_density_random_n60_k3_d0p04_s34,A_density,random,60,3,0.04,34,180,453,SAT,0.002823,0.001044,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s34.cnf
A_density_random_n60_k3_d0p04_s35,A_density,random,60,3,0.04,35,180,453,SAT,0.002881,0.001025,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s35.cnf
